name,tweets,followers_count
LalaHMur,1284,571
RicePoliSci,18,151
BAshleyLeeds,255,1220
joelasievert,2006,867
CaragineCrystal,0,0
JPRubenzahl,403,36
Sarah_Brierley1,0,138
liushiyu1223,0,14
jon_breece,1,5
SofiaMFred,2,46
haoran_zhang96,216,78
SteveRogersinfo,734,414
iworld1991,904,256
Tommyindahouseo,0,5
Oskarryden,24448,1133
fernandes_becky,4177,298
JadidAmaf,1370,48
qisiangng,687,200
STArthurFR,422,1381
QRoonjha,18568,3738
ChanKaMing15,54,76
LoyolaCJC,2503,761
MuradKanrani,1200,176
AlexCecylia,92,461
polarbear0627,480,304
MorganSetDesign,177,121
_lia_white_,0,3
TomasFJaramillo,1665,65
michaelcurtin15,3830,826
cespinosa10,1238,255
jayrobw,132,150
ansarjaferi,110,63
RyanFedasiuk,2095,564
theoyakah,10,120
surilisheth,1359,507
josemaru718,8974,543
MuhammadOwais17,66,271
Young_Poboy,2688,285
gbbelarmino,0,0
ctburks,88,594
AjayVerghese,5233,2581
NadiyaKostyuk,252,322
EverdingGerry,1,9
gzdmrl,176,53
alexburns,9288,1463
TiwadeUttam,224,208
byron_powell,719,1904
tay_damann,35,40
mikeseese,0,137
docambler,453,270
20007339,7,3
WashURec,849,566
RoiZur,313,307
SEMcMillin,2735,433
RyanRapsRight,8,9
LuciaMotoliniaC,5837,574
DonWill35436867,48,170
YuanYuan_Hsu,196,31
dhmarkel,13910,802
Jacob_Montg,373,339
AbdussamadAhma1,410,191
Intel_101,408,311
ijaz_haq93,3249,171
BDesco,10067,499
bkettenring,3122,918
WhitsonMark,39,6
LesterSpence,14465,9876
saif_0557,603,115
AJKnuppe,1429,605
adeslatte,16734,5205
wnomikos,2938,848
quimarta_s,226,56
benjaminrieth,1724,166
Iva_Mihaylova,80,99
PoliSciConf,55,241
WUSTL_Summer,191,115
villageartist,230,135
libbydowdall,1259,307
AdriBoersner,1138,710
domingosamanda4,149,71
Stephenrenda,0,17
OkafoOgochukwu,12,232
BBoundariesWU,169,139
TashiTewa,10459,1376
nicolekdan,7067,458
lisa_nieth,375,367
PlazaColodro,1077,582
DavidPoe223,689,208
sdabreu,2324,185
AncienBenlloch,2606,311
poetword,2390,160
meirajmm,140,126
christiankscott,916,143
mrsultan713,1520,1012
KyleECronin,1172,125
N_Damschke,214,240
SocialPerforma2,2755,869
Petergehy,7,17
XuanLI_1994,10,16
hamchicago,611,88
shirley980604,147,33
anishnabenow,4472,886
aidaan96,210,306
CarlyNWayne,832,1147
maajlan,30726,482
DBS110,4076,454
fejesmg,1501,355
thomaserandall,919,389
STLblogera,15477,964
SheenaGreitens,5015,7722
anna_getmansky,522,1042
ka_99k,972,39
simonrcotton,291,517
WashUAlumni,4627,2577
menchant_liu,26,4
RiskMBA,1549,643
ElleFreeMO,517,105
JenSmithWashU,431,348
arcruz0,204,191
liulch16,30,7
WashUChancellor,4085,3421
WUSTLTTC,1391,533
_AMReilly,1368,247
so_proksch,83,750
joan_barcelo_,67,359
blfraga,2887,2653
weil_ethan,56,6
J0eSutherland,44,278
tntreat66,97,16
mauvela,306,87
eicoz,1886,380
cesicruz,1889,3130
ianRturner,899,1246
_NingHe,38,58
nielshappeldorn,2,67
DanBischof,3903,1993
MadCoEconDev,245,152
FundedMission,2687,448
WASHU_BNVB,69,76
GSSwustl,58,53
efeduenas,2380,365
jeonghkim1,44,120
shirokuriwaki,211,915
dianazobrien,378,1950
HansardScholars,788,268
ReubenSiegman,1589,179
AshLee_M_Smith,380,492
cd_lucas,566,2385
RobertCantelmo,1393,469
aleranda,628,40
SPSAwomen,2924,1263
johnadearborn,3459,1718
LZZpoli_sci,0,0
NJBrdicko,1,6
luisrivero,5604,552
Jhon_neu,0,66
YouthMarchCO,40,88
soccerquant,9485,12391
riley_judd,770,318
JonathanMishory,9668,615
BeirutMugharid,4612,82
NickMormino1,6,12
MillbrookPharm,1788,403
UTRGVPOLS,130,218
WashULRev,174,278
RMM038,259,240
elizabethaeddy,90,91
gebby1984,8326,760
mhseo88,10,126
Julie_Flory,8209,1308
klier_teresa,0,0
SamKleinOnline,2223,142
ciudadana_erika,7331,665
WUSTL_InfoSec,117,34
C_Wolbrecht,16678,13379
_faisalkamal,738,397
ScottFAbramson,205,398
WashUAdmissions,1064,786
BrendanNyhan,77744,73148
ConnorMEwing,1309,1197
michael_p_olson,2921,373
psuareziskihata,1153,223
aaronjgold2,143,272
sengulyldz,747,180
dalston_gawain,588,84
MattC15,2933,187
JasonWRoland,8431,1290
Stratton_Jill,1756,926
srmonteirojr,4536,513
ben_fifield,125,563
NewEnglandPSA,1124,992
hedwig_lee,8135,2605
wufrank200,312,102
LLingo_admin,1,26
PatrickRickert,1083,163
BMcCSJ,3559,957
nocmgr,940,149
WashUWellness,67,79
JM_Sievert,9672,2143
cmhinderliter,15526,2717
STLRegChamber,8421,13844
faze_uso,31,1
SKappHastings,6,13
azwolk,1245,227
BetulD_,8,52
JulioTellez,7364,1208
AdmissionDeanWU,474,302
eiri75,2107,38
LilyJake11,284,78
WashUGHW,53,83
CaitlynMCollins,3018,3295
AmanPatil17,38,42
ITAPCWE,1631,3564
StLouisMOBiz,6,174
WUSTLcareers,2275,3782
sumpunta,7992,402
Peacock1,2614,480
wasserjo,48,38
JacekBursztyn,28000,403
parallelchords,279,350
StineDeborah,65,37
wustlsoc,406,236
pjfj4,337,12
WUSTLKat,65,31
ProfKrassa,954,85
matthewhitt,1585,1694
jbshore14,4102,344
JonasMarkgraf,164,269
washu_su,1390,1842
