name,tweets,followers_count
FranziskaMaier,647,440
chris__claassen,112,208
ineslevin,203,930
lpargyle,68,203
Heedi101,543,277
josephd37465549,9,2
sergimorales,3732,1145
ThomasCOTTINET,19935,6727
agneshkm,225,322
mentaldaily_com,167,19502
DrKeishaRay,560,522
eredmil1,8143,4042
akoustov,303,1881
ronpatz,45217,5524
DrAnnikaWerner,599,740
EthanBusby,187,304
WhyWeArgue,1221,646
OverdoingD,525,252
esydnor,1499,555
NKSchueller,13960,1153
MaryAPainter,2386,385
jennifernvictor,16252,12448
BottingHunt,1027,520
WajnerD,93,143
asgianchi,0,7
MargaretAHayde4,2,0
jk_wagner,15,13
GarciaBedolla,560,906
ClarissaHayward,6797,885
Johnson67354526,0,17
pedrocapra,217,74
DavisRi28069519,0,3
karo_urb,3239,1024
LC_Sanford,340,301
RahelSuess,72,328
mollyscudder,199,167
socpsyghent,300,445
CESSIndia,46,87
awiezel,6,52
stevenwwebster,372,1383
LenaMasch,195,393
michellestwali,266,323
AinoLilja,1134,575
firstpersonpol,7043,648
zacdgreene,453,1208
DinisYilmaz,16,108
MauritsMeijers,609,533
Pau_Vall,2265,710
_AckermannK,25,296
franklo61031298,18,533
lara_schreurs,4,34
BeydaCineli,22,92
Martins_Junior0,5,2
yvesdeboeck1,585,235
orioljbosch,2909,175
sbib_kuleuven,5,43
1952Dilip,349,64
epovb,67,572
RIBernhard,861,871
iacocoba,17180,2484
A_Behaviorist,1113,311
lisannewichgers,2226,175
SharonBaute,21,116
AbelardoGD,822,328
tonirodon,311,821
wmjunk,132,546
just_in_mccaul,1776,234
PernelleL,95,91
EPO_lse,2583,724
KarolinaZby,5441,1961
olga_chyzh,2230,1000
ChanKaMing15,54,76
HendrikJacobVi1,15,608
SvenjaAhlhaus,99,831
MaryChayko,10702,5555
LarrySchar,0,10
jaredamcdonald,381,121
hwessler,352,690
RAdeGeus,503,226
Steven3522516,3,6
Ilkmade_Pol,3945,564
hollyke,34,7
paddster,648,167
PJDunleavy,56373,23401
EloFabre,7754,1125
Daniel_Kyne,5060,2033
EllieGadjanova,3046,410
semrasevi,42,1675
AsnPLS,1175,432
robert_a_blair,1725,1790
p_beramendi,4834,2521
MYODemocracy,364,109
nxtgenusa,107,122
NotTheMikeCole,32,117
popeurope,173,337
jdbk,1457,1525
hermansm,1487,848
JamesKursun,4,49
eganuza,254,267
PetraGuasti,6506,697
AlexPatrioteGPI,64694,4573
RowlandRichard7,668,366
joserod83454802,259,19
Danycba15,4598,149
shanegleasonPhD,682,346
r_dassonneville,663,1064
melissabaker712,4193,454
MikeGruz,17852,590
wjkno1,16671,879
__deej___,506,72
EsmeraldaVBon,273,352
__vgold__,80,35
bernardjude100,48,128
pietwostyn,2960,932
JeffersonCtr,1367,1321
samuel_rhodes,77,195
Franois32188763,7,42
WietseVR,1526,1794
tylerburleigh,1038,452
DecideMadrid,8464,11569
ElisabethSchimp,205,486
JonasMarkgraf,164,268
newdemocracyAUS,1451,2315
RyanKennedy7,219,442
jonas_lefevere,40,61
LoicBlondiaux,2405,4284
mascakir,4356,266
GHSvanDijk,19,27
landemore,1186,1830
malcolmfair,335,169
M_B_Petersen,2281,2445
amandajofriesen,2412,1220
rubiksplanet,1874,281
DigDemLab,1823,1399
MendoncaRF,86,319
sofiabrei,370,212
Santos79285027,212,248
StyufV,21,679
matthew_fails,156,102
daveamp,4272,867
David_Olegunar,70,239
csestweets,398,3219
NivekKThompson,818,572
Jeffrey98479860,6,4
marina_popescu,50,134
adeligiaouri,197,119
chefanieeee,3162,355
marcozmike,2,48
janisaac,11,20
PoliSciJack,3834,1221
frfeitosa,31,102
Mreowris,160,86
catoleonard,3506,2340
Arildohr,456,53
MarianCramers,2238,1556
TimJHughes,11388,4387
kiernanmargaret,3049,2348
GarciaHdezAna,775,508
RaphaelPouye,67,187
DrDaveMckenna,14238,2320
joi_pranzl,624,124
Fulwellender73,897,138
thomfrissen,1258,493
LianaEustacia,870,392
EUinterest,1116,5386
czogmaister,826,612
demoinno,247,329
DrMackIT,368,293
Cal_Le_Gall,117,465
themediatopia,4,128
anthonyzach,47518,6136
RCrombrugge,65,104
AhmadUmarDambam,8,32
jamesdcamp,4847,518
ALMONDGARRETT4,17,651
PaulaAranaB,21746,551
ttya70,36010,3690
AishaGa72935605,17,75
N_Damschke,214,240
MRohava,808,504
BAglobalstudies,123,115
turkenburgemma,25,160
sierrad51634814,315,2482
anna_a_kern,8,104
JHuttunen1,2583,672
Robinlebrun,5090,423
jsradford,3992,1055
Eve41223922,0,0
ECPR,18743,16240
JulijaSardelic,3476,1195
mariakoomen,548,786
lawattractionz,37509,172169
BelgianRefugee,4617,1432
gertjanput,373,444
earvsc,22789,1968
egocantos,3399,1297
NazitaLajevardi,425,648
tara__incognita,1427,5647
DoctorThomasHa1,10,27
vosquecrees,1703,200
wtrvandooren,659,692
Mauddevos,0,2
amossmi,31899,36072
PepComellas,3473,230
DanielleWenner,12920,3265
Paulien_de_roos,0,7
IanBabelon,475,126
nuria_suero,464,141
Welpita,3347,2363
erinkaylockwood,1856,824
SebLinares,2789,1202
Theu_Mat,26208,1101
barnabyWjackson,2851,161
SenemSafci,387,198
EricaFrantz,157,768
roya_talibova,41,173
apadro_solanet,527,188
jamiepow,7697,1812
AlexMGeisler,248,145
j4virom,1247,365
hannamraz,838,362
josemeyers,138,60
MarleneKunst,21,66
portenchee,364,328
ECPR_Gender,47,612
Micha_Germann,74,91
financialeyes,27134,1786
Vervoort_Joost,4245,1448
mkjustesen,592,255
KarinaKosPed,837,608
FloSchaffner,153,100
haryosiman,465,227
billuraksoy,241,357
TalbotMAndrews,216,474
rachlin_dan,0,93
Tom81412199,33,38
RanGoren,101,52
KULeuvenKulak,1749,1745
HansVandeWater,1298,551
matsahrenshop,39,42
TorAgency,31,68
DrSaoirse,6747,1058
DiscoverSoc,17045,15373
woutervbr,96,70
HilaryJordans,5,26
demsocBXL,1592,406
RebeccaAnneLaw,1962,2194
ralucapahontu,573,497
akothogembo,5519,1144
littvay,2482,1161
mrooduijn,8406,4157
laiabalcells,18359,11115
albahuidobro,69,176
YegorLazarev,144,463
joostvanspanje,1363,1085
jonathan_rinne,55,83
AnjaGiudici,233,89
amysleeisme,769,155
NBedera,2814,5499
JohnHolbein1,7404,16787
Dr_PNL,2359,1335
JLBergen,1991,600
elenadamian3,224,124
stefanie_reher,206,631
ford_nik,12524,1424
grow_andre,1101,790
EthanVPorter,594,1051
b_castanho,673,454
posciwty,273,309
graemedblair,1355,2409
jasperjcooper,80,598
Marina_Lindell,127,140
MarkEvansACT,1093,2327
jeremycyoung,2592,9897
volkan17658772,258,98
HC_Richardson,54368,52253
casparchris,211,173
CristianNorocel,1630,653
WeComm_VL_NL,108,372
SciencePoULB,2938,1835
Emilie_vanHaute,710,1445
EJPGjournal,814,1616
rdandoy,5622,3351
LizaMugge,804,1173
WendyConwayLamb,542,353
DimitriCourant,914,572
MamaFrej,0,111
MariLaeger,104,52
Kunkakom,15108,1281
PatrikTaufar,105,257
Dr_SBussu,3378,1133
wojciechowa,521,325
eudaimonisty,6817,2638
nikwyss,63,143
VaLescaL,13164,1704
mckayspencer,2677,336
mblukac,341,171
antoanetadl,6325,962
Filip_Kostelka,796,437
ICPSRSummer,2958,2558
DelibGovLaw,652,543
AnnKristinKolln,28,397
KristofJacobs1,5838,1537
Mohamme81482582,17,27
ProfJohnBarry,4761,2221
amandabittner,18145,4755
opensocsci,321,499
jgastil,418,1137
kesearles,14054,5774
sew_bili,11,12
DFleuss,372,214
Sharif_lbakri,747,106
SeraphineMaerz,88,320
nomadic_kris,1646,327
ESS_Survey,4663,9231
FinlandArseniy,0,20
JehanBottin,16,187
MammaPia,1145,350
MichaelNeblo,19,596
johnson77010625,19,339
hannah__werner,11,91
nnemr,8234,398
hayley_walker87,7,43
thinkingpolis,6321,1129
alfredmwu,292,676
DanyMususa,1348,156
LMorgenbesser,4222,2429
rrichard09,74304,1480
awattsup_,194,145
alixabeth,22747,9524
juhahiedanpaa,559,394
laravu05,135,102
HannahLebovits,12447,3129
GeoffGWilson,13036,1200
miriboehme,3822,396
