name,tweets,followers_count
SpiveyFaulkner,6,16
apaniaguaavila,122,111
shanziem,4,7
diane_hudon,70,7
dleers,42,28
IhbzTfSvesni0bA,0,0
bigfish0010,20,25
SulovSaha,7,8
joshirsey,11,0
spatns,442,244
AndySchutzenho1,40,37
LISAAcademy,1772,604
LsfAtty4,11110,578
babydogjen,3232,1581
congwan95919842,0,0
KhushiSuman3,41,25
cothomas68,3046,77
GatormanRick77,40,11
dl_galkin,1,1
XuefengJiang1,0,0
emasud23,3,4
nunn_j,0,12
PamelaSepik,20,12
khirscher,2,4
NommensenKristy,79,5
atheistjane,76,113
MatthewFreund1,0,7
yourboiEvan,2429,695
WoodleaGal,295,30
Jjopes,466,60
jemslow3,0,1
sanchezgermann,38,29
Linda0704,33,17
MikeMiller312,1,3
tbpayne2,0,7
WeiQian49219121,0,0
chad_coates8,509,91
TonyJaccaci,2210,619
bballer_437,892,98
NolanNNHS,0,29
Anika_Walke,155,150
phukjieww,15842,0
steve_ott_72,15,9
UTLegalClinic,27,53
mom2dog2,17,0
MiriamElman,21703,2805
DarcieMattec38,10,26
mandylockss,0,0
jenfisher21,13,19
maggiebgg,0,1
b19926491424,0,0
Big_Paul_Sr,515,224
rushmegup03,57,21
stacysmallfield,20,14
Kathyweaver1010,484,18
LightningJ55,15,15
sara_katz,32,26
NERothfuss,1,6
sam_m_122,687,474
akatpatel,1,9
MiyaraShoval,42,86
Katknews,5257,1822
2heUluYJkFWVQiO,4,0
irene970405,0,3
stjude95,768,17
persephonenurse,2167,775
Jr2SHCounselors,318,196
LisaMur29606334,4388,96
Robert75346236,1,4
JoshShoemaker_,1,5
WustlMAPS,0,2
mmmmskyscraper,0,6
bstanellIII,333,203
WHY75504061,1,1
RebeccaRod11,53,34
laurenjsurratt,13,35
CChorlins,1,4
marcoyoung_1,230,407
kimayratae17,11,1
Lovestarlite_14,1,0
aparnadeora,8,5
ipfconline1,149941,113404
AdrianJayD,125,149
Ryan_zhang0629,5,7
RiethJones,17,7
ASVP_OSIRIS,3,13
AnneJiang6,106,16
zack_kalinowski,8,2
GatzKatrin,6,53
shuos_rst,109,3
NIGUOWEI1,0,1
RegalSportsMW,229,10
JLovingkx,0,0
KCMOHealthDept,5229,5312
ABSWashU,956,508
ElamStine,1,21
RBHSCounselor,0,11
Robert_C_Power,217,212
mosici,0,0
OpeSotonwa,1942,122
Fuadahmed_19,263,165
GSirle,6400,43
Fuaaaaaad_ahmed,133,21
ChaoPumbaa,3,1
judyreports,339,83
VisionaryBA,4,2
RachelDahm1,2088,647
NicholasMormino,0,4
KarrenKnowlton,5,19
SLU_IPE,130,260
AsiaTom1,25,29
PeregoyCharles,146,70
howdahplantae,25464,571
KhalfaniMar,349,60
mahmoudqrdahgy,22,26
EA_Puplampu,7042,378
mburakozata,416,39
Clartstudio,0,4
DaZheng666666,0,0
bkelber67,21,3
WWHuang2,4,4
Skbower,772,12
SandhuHarvin,0,4
StemTutorMx,1,111
DECAJustin,8,19
JessicaCButts,112,114
MarCom_Awards,839,1069
ellawesson,12,67
_johnjohng_,0,4
omarhernandez,18454,580
tinacassidytlc,0,0
jarnacke2,1,0
ceciliawacu26,0,24
HofmeyerMelissa,1,19
Lvlelvn,2,32
DonPerkins16,1,7
Weidionroad,32,17
baruah,0,23
chiemeka79,25631,274
OmarSha85940266,10,24
HarshVe61926094,20,2
haris_voksic,12,4
AntonTPiskac,213,4
KadanOhad,0,4
PTHS_Counseling,45,44
keshav_udeshi,3,9
genetics_junkie,39,25
taylormoser_,6435,524
grwatkins17,37,33
QueenBamela,549,62
auguatusyu,0,0
tugejnvfrhi75,151,20
yvonne62600569,4,0
kate71890,0,7
JuanMan06691499,139,53
AnitaHerRiv,8170,339
JohannGreyling4,9442,467
LisaTConnor,285,179
DomnicBett,5,21
jhk0631,62,15
awesome_autumn3,37,46
GrantYaney,37,48
NickLyn40016010,0,1
GritStreetMedia,0,0
imabotbruh,30,0
BellaHe16,0,2
hsuehjun,1,3
emmarose739,4494,179
RacismeSocial,9892,432
ashton_gurl23,439,98
ConstanceCorne9,67791,11329
sophubi,18,71
HerrinNoah,16,14
whitbert,393,66
linyihai2,0,23
DougUlrich2,13112,900
RoyZhu36031365,0,1
PKoulogeorge,2,26
marielacuadro,2137,678
quesadillas122,3,16
cmribakoff,659,171
foxfamily6,1,5
edina_ah,1707,218
HeatherNStL,709,1121
ka_pegah,44,67
anslemfelexx,6659,1324
EvanKaplan16,0,0
Slphillips10,1050,185
mehersingha,7,30
CraigRiggins,209,59
CatLoverKT,0,219
BowermanNolen,2,79
yuvakarthik2,35071,1137
Sabino_Zarrabal,0,85
PilarGonzN,34,16
ilkoleno,94,121
EMDB_EMPIAR,502,2077
sangiarno,356,22
lamia20203,0,26
JillSamz,0,9
Katie3Feeney,131,117
rachaelnb,4900,279
jjl555,2,4
NanRaghuraman,16,19
clayton_herbst,279,155
LhommedieuRae,1,10
FrannyBoly,7,74
AtuYuguda,13,3
EsqUche,16,5
Lostfrequenncy,0,18
engineeredhvac,157,105
brooke_fei,0,1
hanginwithDrC,375,215
foxbeth,1856,310
gemtransport,5,24
saintlouisbank,0,7
MrMichaelMan27,300,56
diaojinjin88,19,12
yumakajihara,373,35
Kfd1024,303,106
chrishywei,1,2
esomayina,1928,529
APADiv24,125,1213
NenadBosnjakov3,0,68
lovedhoba,128,425
InglettEric,0,0
LMahler20,115,10
amekatharine,8,38
MahmoodSultan5,16,140
EEQAP,28,22
zonicw,0,0
stlcardsfan2011,879,19
ShaneInStLouis1,318,74
DnaEly,2,9
___deblojackson,1554,154
suzanbostick,106,6
ClaytonGeenen,486,188
gLORIousRun,2644,113
edgyalienmax,4,25
laurenrogge4,6,2
RootCauseSTL,24,44
egsc_wustl,9,45
nnlmmcr,1522,268
EsRaaRa19,500,38
umkreise,9,1
MikeMillerSTL,57528,8643
sakhan2019,2,15
TannerBaird6,69,95
Michael88270818,2,0
AmcepedaE,3,37
mar_dabbah,1,8
boothjrjr,119,131
tusomee1,18,6
PinkeNicole,3,129
RNHDC,24,78
andreakgraham,4,72
AkachiPhillips,4,9
matteopollaroli,1011,85
PaulBGDX,0,7
alqahtani_js,1038,209
atkirtland,2,2
VagnozziRJ,145,161
MaggieA00005322,1,3
domolica,1439,281
ZhuoyueGao,2,3
grantneeley,325,208
aimee55883991,3,2
jordankeller59,1158,1735
jamilac123,23,5
AnitraCRivera1,74,1
shoujidiaole,8,3
mpangamm,25,41
MarySalihWex,3128,215
Joe06275925,1,32
BenedictKonso,6553,544
maddiensass,112,219
Lew_Lab,2,84
CoraVulin,15,12
drexelpubhealth,4234,5798
francescofonta3,4,15
MichaelMAdamMD,5,48
EMoracci,90,27
IsmaeleCaramel1,1413,39
DonnetteLarki13,8,1
RuzzanteMatteo,248,72
mdmaddalon,0,35
adriennecgarr,5167,260
jaffe55,15,53
GWardeberg,11,34
andreharris89,28593,1666
jasonyew00,0,0
Jenjraymond,524,106
CambioCenter,1124,260
RatulRana9,0,58
TeaffNickle,131,288
grw_sr,124,21
SoSpecialDesign,28,14
TylerQuigley10,0,2
jtmoore73,3,22
kennetheversole,460,66
KalEl78181496,15,12
WCBballWolves,351,306
CSuttonCooper1,2,2
TaliaRubnitz,213,212
