name,tweets,followers_count
sciencemagazine,21504,1364713
prpayne5,8360,1785
HomeGrown_STL,619,250
STLStrong,5030,2423
mstreet99,116,162
chrissinstl,128,14
velvetdove,566,25
sfsam22,16343,5143
jbgeers,4406,304
HWFerry2000,3211,302
SankarShrihari,145,12
jseyforthspt,3567,191
AmyHC,1091,432
other_rock,1284,1504
camieb235,61,89
ambitious_14,52909,2969
JoshTurnerSTL,717,44
Scotty_Millar,643,44
scientistleo,190,87
GlantzAndrew,51,27
RepAkbari,5908,4122
RESachs,3045,3486
danielledonfro,879,803
_MatthewACruz,1163,355
AlizaShatzman,9,32
Borcherding14,587,295
ScottHaber_,5,225
Mamatha_Challa,765,415
serenamounts,1453,754
lauriellos1,379,67
emma_searson,565,355
samdelag,10335,2904
HitenDPatel,311,547
JJames925,520,532
emilyann1031,84469,1445
jenn_dynis,718,663
kaydub_cyc,13688,369
phlchristo,1854,1542
JamieAndrenette,5076,261
OriginalRue_21,10589,1174
Chrxstxphxr,60149,1138
PowWashu,0,3
chelseadee310,1824,236
femmephatale_,4488,353
SiegalAlexandra,43,26
SamuelAchilefu,73,530
mrjoefrank,1505,1162
AndrewDHaner,7490,175
kimberlysinger,534,327
GabeWatson,1074,148
chrisuggen,5456,7159
LMaffKipp,4367,960
Seth_Lemon,101,3696
DCunningham_STL,113,188
BerkeleyLab,18266,63080
WashUChem,115,226
LaumeierArtStL,784,1934
CitygardenSTL,989,2053
SolnicaKrezelL,207,461
stlglass,2093,1022
Martin_T_C,51,36
PhilliJaye,55,15
ProfRafia,191,198
wouterkool,548,1437
bdavidgallery,6413,1234
VentureCafeSTL,6571,7621
in_thestl,1148,3372
MorganSetDesign,177,122
benjamin_akande,5296,3026
KatieStillman,2519,1647
BrandeisU,10780,20626
UnionStationSTL,1677,2269
STLFoodbank,14913,8159
RenegadeSTL,139,306
ReimagineStl,93,776
BTstl,6859,8189
Square,13001,250022
SilvaLabWustl,12,57
JonSilva_StL,26,80
KittnerD,68,77
Meaghan_Creed,1582,2526
MKSwansonLPGA,212,133
ThePrincetonRev,30924,18974
tbwonline,25753,217
repstl,7534,6141
BearWashu,1,20
JasonHallSTL,13839,4136
shakesfestSTL,8640,6740
laurie_punch,2938,2116
BBoundariesWU,168,138
WashuWups,127,178
educationusa,6234,24560
mikebushksdk,2884,7631
rboyle31,2597,5938
NSBE,25316,20575
FranceinChicago,7997,5248
TrumanState,9212,8068
NEH_Education,3172,9569
laurenemeier,1237,1035
ppisters,3168,6213
libbydowdall,1259,306
lymphmetabolism,290,159
Wang_PubHealth,103,88
docambler,453,270
ToddNWylie,520,357
kwylie5,923,573
zalaly,1151,805
_JavierVentura_,3732,160
odomjohnlab,860,842
MattMenietti,8371,2303
JenLWhitten,133,138
stlpublicradio,63988,59220
Scotty_Jacobs,90,102
WUSkillshare,121,33
WASHUCheer,21,112
JackieSchlarman,32,16
jenniferavari,611,580
ObedIRojas,4822,342
setton_lab,1972,1172
MichaelJShaich,296,170
shankarmukherji,1070,105
WomensBakery,567,343
SchefSchef,4064,182
MissouriBIO,502,825
andrewbrimer,88,155
greetabl,1787,2366
MorganDeBaun,11430,71320
Blavity,93156,210686
blavityinc,42,1170
i_am_MANDZ,2966,715
WashUFuse,147,249
atimalui,14635,659
GatewayArchPark,4532,9442
CarpeRibosomam,304,1028
aaqrl_wustl,344,170
NEqualityMatrix,211,305
BauerCtr,225,130
snkurtzman,188,218
GoogleDoodles,1462,131779
AFASWashU,98,201
daryn_adler410,726,206
bbcpress,12102,164401
CoachJuckem,2671,1941
hedwig_lee,8132,2603
newsformaggie,29296,7028
ChainsawChapin,307,193
JeffreyRMillman,1671,1425
AnneGFlaherty,1848,777
WUNephrology,1435,2168
WUSTLGrad,7,32
BioGeneratorSTL,711,2936
ProfStevenSmith,38,2685
JonathanCBarnes,510,1518
RogueNASA,17979,854979
nprscience,13963,249639
tracycollins,4795,365
WUSTL_EPS,113,130
PhilSkemer,292,197
NoahCohan,3871,776
Art_Arch_WUSTL,102,34
HeNeArXe,2076,531
drrodebaugh,3804,675
WUSTLChemLib,32,9
jeff_catalano,56,27
i_am_washu,18,16
CaitlynMCollins,3016,3290
WASHUwGolf,380,246
WashUBME,424,499
ObamaFoundation,1482,839922
NRMercier,387,223
GreatRiversSTL,5858,8714
JenArnoldMD,16205,261949
GatewayGreening,5428,3862
BoeingCEO,403,22815
NRC_CNRC,3465,18135
OlinCel,198,172
danbentle,638,277
rameshraliya,1752,886
BJC_HealthCare,5277,10589
iiluscri,1339,405
wustlsoc,406,235
RMarieGriffith,1260,1960
WashUChancellor,4081,3414
ProfMomatWashU,493,112
Eve_of_On,1384,200
ehaswell,4339,2634
GSSwustl,58,53
WASHU_BNVB,69,76
WUSTL_CIO,794,388
ThomChesney,4743,1395
myrablopez,1575,519
WASHUwSoccer,601,631
OTSL,5312,9501
WashUwTennis,836,151
WashUDevBio,79,366
NPR,182486,7824919
debparker7,206,266
kevin,25,122329
mikeyk,23,502520
WASHU_XCTF,1173,705
cashnickerson,2277,8761
GregMagarian,45,109
SanjitDeSilva,1552,219
sathyayayaya,91,217
BecauseNicoleH,3865,1857
AFResearchLab,4394,10089
BiStateDev,851,858
jeffheaton,2649,9605
limebike,6070,23792
explorestlouis,10060,66092
DrMichaelLomax,6768,6127
WUSTL_Weather,7374,45
LydaKrewson,4972,17211
kgreenbaum,5607,2616
wwt_inc,14439,10036
raven_r24,741,73
SlaughterAM,38161,158645
Farsh_G,3744,2177
statnews,33648,92912
Guilak_Lab,607,1198
eternally_g,6025,232
IdeasfromPaula,240,148
kindboml,449,2008
clarkkathleen,4359,2091
WUPR,1139,507
danepps,5767,8941
AsteroidDay,7013,499036
MFA_WUSTL,709,350
DrEmilyT,2404,458
WashUmTennis,33,254
WUSTLBio,529,658
WashUGHW,53,83
BuderCenter,281,157
WashUHumanities,598,210
NASA_Johnson,12436,947284
DanforthCenter,8536,10534
NASASocial,20495,336462
SKappHastings,6,13
kimselle,732,55
K_Leg80,10505,711
NASAblueshift,3336,83357
WBTolman,6672,3698
MpowerStL,550,204
DrDHud,561,675
WFTate4,884,944
MOEducation,16124,19115
FulbrightPrgrm,12527,67762
ursasnitelife,581,156
WashUAdmissions,1060,786
purvi899,6569,965
washubaseball,1497,903
em_rich3,2349,265
jasonmarquart,6140,987
drtessthompson,7242,1722
jgohsman,223,138
WashUReady,618,430
GirlsWhoCode,11260,290232
enola_proctor,1289,1046
TwitterVideo,8870,15204040
ReligPolitics,7086,12515
TeamWashUSolar,168,75
EricSchultz,19898,25960
WUMCRC,6190,1073
WashUcampusnext,316,587
nocmgr,940,149
WUSTLsurgres,563,889
TimJBono,191,316
WashUSurgery,3737,1620
webuhro,1196,914
teresaalane,1162,352
AnthonyAzama,515,605
askmiaquestion,166,146
stlcountypd,5784,67377
DrJeffrey2U,433,533
DeanNancyStaudt,1773,752
GreenDotWashU,149,80
MichaelKinch,633,387
sarahkliff,20259,137198
ArmyResearchLab,2793,15409
ajost,33884,6314
_MerisS,12828,869
OSUPrezDrake,4372,16125
WUSTLphs,5525,824
WUSTLAnthro,936,595
ArdenFarhi,2310,5085
voxstorytelling,169,2537
AdmissionDeanWU,474,302
K12FutureE,2072,4453
DeanTaylorWashU,478,774
ElleBelle37,3229,23971
DrakeUniversity,15157,45000
jennie6878,491,145
milchar193,3266,502
jamesloomisIII,1284,2705
TEDxArch,5908,2621
soledadobrien,74708,1049047
nytimes,368990,43930096
CahokiaMounds,1007,1147
doscareers,18160,26449
zoobeanreads,6887,3296
sciam,61989,3759567
MurmurationFest,1403,1117
Tsinghua_Uni,2211,56595
FergFlorSchools,4772,3087
JaySieling,5494,367
de_nichols,29610,3537
SUConnectionSTL,468,852
DrLoriWashU,62,527
isanchezprado,3953,2340
vcmitchelljr,31144,9396
jmitori,2347,2048
sbbaicker,75347,26604
cardsblog,4813,1878
McFaul,70325,384523
paulakerger,502,3716
esusseles,117,587
INSIGHT_News,4715,1894
repjohnlewis,1954,1094106
BALSAfoundation,536,722
StartLouis,2488,3241
GiftAMeal,2145,1203
iitb_wustl,162,161
wrightstate,48331,14904
CollegeCEOs,994,694
SIRIUSXM,45414,252176
Sra_Arnold,3100,1230
BearStudiosSTL,10,199
STLpubLibrary,5469,13328
SkinkerD,640,598
matt_devoll,654,196
PaulSchankmanTV,225,1679
CenteneCtrWUSTL,215,299
cirtlnetwork,2302,1414
Weatherbird,41248,17322
AcademicBatgirl,2585,27703
WUFSAP,23,37
AdiaHWingfield,1155,2563
Google,100772,21390674
AnitaB_org,18917,46544
